keep_id,duplicate_id,score,status,keep_title,keep_category,duplicate_title,duplicate_category
29,12005,1.0,pending,ترافیک چهارراه غزی,traffic,ترافیک چهارراه غزی,traffic
30,12006,1.0,pending,ترافیک میدان سپاه,traffic,ترافیک میدان سپاه,traffic
31,12007,1.0,pending,ترافیک بلوار پاسداران,traffic,ترافیک بلوار پاسداران,traffic
32,12008,1.0,pending,ترافیک بلوار امام خمینی,traffic,ترافیک بلوار امام خمینی,traffic
34,12010,1.0,pending,ترافیک بلوار هرمز,traffic,ترافیک بلوار هرمز,traffic
35,12011,1.0,pending,نقاط حادثه خیز,traffic,نقاط حادثه خیز,traffic
36,12012,1.0,pending,دوربین های فعال,traffic,دوربین های فعال,traffic
45,12021,1.0,pending,ساحل غدیر,tourism,ساحل غدیر,tourism
46,12022,1.0,pending,ساحل مرجان کیش,tourism,ساحل مرجان کیش,tourism
47,12023,1.0,pending,قلیه ماهی,food,قلیه ماهی,food
48,12024,1.0,pending,مهیاوه,food,مهیاوه,food
50,12026,1.0,pending,هواری,food,هواری,food
51,12027,1.0,pending,موفلک,food,موفلک,food
54,12030,1.0,pending,بیمارستان کودکان,medical,بیمارستان کودکان,medical
55,12031,1.0,pending,بیمارستان شهید محمدی,medical,بیمارستان شهید محمدی,medical
56,12032,1.0,pending,بیمارستان خلیج فارس,medical,بیمارستان خلیج فارس,medical
57,12033,1.0,pending,داروخانه شبانه روزی,medical,داروخانه شبانه روزی,medical
58,12034,1.0,pending,اورژانس,medical,اورژانس,medical
59,12035,1.0,pending,هتل هرمز بندرعباس,tourism,هتل هرمز بندرعباس,tourism
60,12036,1.0,pending,هتل خلیج فارس,tourism,هتل خلیج فارس,tourism
61,12037,1.0,pending,هتل ترنج کیش,tourism,هتل ترنج کیش,tourism
62,12038,1.0,pending,هتل سورینت قشم,tourism,هتل سورینت قشم,tourism
63,12039,1.0,pending,دیه کامل,general,دیه کامل,general
75,12051,1.0,pending,بندرعباس مال,tourism,بندرعباس مال,tourism
2380,12154,1.0,pending,دیه تصادف چقدره,traffic,دیه تصادف چقدره,traffic
2382,12156,1.0,pending,وکیل خوب کجاست,traffic,وکیل خوب کجاست,traffic
2391,12159,1.0,pending,چهارراه غزی,traffic,چهارراه غزی,traffic
2392,12160,1.0,pending,میدان سپاه,traffic,میدان سپاه,traffic
2393,12161,1.0,pending,هتل هرمز,tourism,هتل هرمز,tourism
2404,12164,1.0,pending,دوربین های فعال؟,traffic,دوربین های فعال؟,traffic
